playlist_index,name,artists,album,album_release_year,duration_ms,track_number,disc_number,isrc,spotify_track_url,added_at
1,Home,David Fleming,Superman (Original Motion Picture Soundtrack),2025,121915,1,1,USNLR2500562,https://open.spotify.com/track/2rkHYobqK83HH92SAJI6dp,2025-10-06T21:37:42Z
2,Last Son,David Fleming,Superman (Original Motion Picture Soundtrack),2025,165837,2,1,USNLR2500563,https://open.spotify.com/track/6CJHa7KcYR430ei2kATUi7,2025-10-06T21:37:42Z
3,Hammer of Boravia,David Fleming,Superman (Original Motion Picture Soundtrack),2025,182211,3,1,USNLR2500564,https://open.spotify.com/track/0pGIJNyhRgbggSEZrYRFLN,2025-10-06T21:37:42Z
4,LuthorCorp,John Murphy,Superman (Original Motion Picture Soundtrack),2025,96798,4,1,USNLR2500565,https://open.spotify.com/track/21465ehfRJKP5byKm5J5w1,2025-10-06T21:37:42Z
5,The Daily Planet,David Fleming,Superman (Original Motion Picture Soundtrack),2025,54182,5,1,USNLR2500566,https://open.spotify.com/track/0AXuLoZm7tzczIfuUjdE46,2025-10-06T21:37:42Z
6,Lois & Clark,John Murphy,Superman (Original Motion Picture Soundtrack),2025,67866,6,1,USNLR2500567,https://open.spotify.com/track/3VN3DWKlu5qaZTTHTMSVeE,2025-10-06T21:37:42Z
7,Eyes Up Here,David Fleming,Superman (Original Motion Picture Soundtrack),2025,141938,7,1,USNLR2500568,https://open.spotify.com/track/2h26oqC6Q0XRLqInFayQNY,2025-10-06T21:37:42Z
8,Justice Gang vs. Kaiju,David Fleming,Superman (Original Motion Picture Soundtrack),2025,203349,8,1,USNLR2500569,https://open.spotify.com/track/6S8sbKseHxrgAILMlZG840,2025-10-06T21:37:42Z
9,Intruders,David Fleming,Superman (Original Motion Picture Soundtrack),2025,204761,9,1,USNLR2500570,https://open.spotify.com/track/53ebRTyzbggMTx8bxp6IOk,2025-10-06T21:37:42Z
10,The Message,"David Fleming, John Murphy",Superman (Original Motion Picture Soundtrack),2025,162589,10,1,USNLR2500571,https://open.spotify.com/track/2MpDc3LoAxLh4ntwODVAYI,2025-10-06T21:37:42Z
11,Secret Harem,"David Fleming, John Murphy",Superman (Original Motion Picture Soundtrack),2025,139734,11,1,USNLR2500572,https://open.spotify.com/track/0myGDgvC4BfigvIVP7yN1F,2025-10-06T21:37:42Z
